run,bn,heuristic,time,,Column Labels,,,,,
80,hepar2,WMF,3.10E-05,,,,,,,
80,hepar2,PE,3.80E-05,,,,,,,
81,hepar2,MN,0.002433,,,,,,,
81,hepar2,MW,3.00E-05,,,,,,,
81,hepar2,MF,2.80E-05,,,,,,,
81,hepar2,WMF,2.10E-05,,,,,,,
81,hepar2,PE,4.50E-05,,,,,,,
82,hepar2,MN,0.002349,,,,,,,
82,hepar2,MW,3.50E-05,,,,,,,
82,hepar2,MF,4.90E-05,,,,,,,
82,hepar2,WMF,3.50E-05,,,,,,,
82,hepar2,PE,3.80E-05,,,,,,,
83,hepar2,MN,0.002317,,,,,,,
83,hepar2,MW,2.30E-05,,,,,,,
83,hepar2,MF,2.30E-05,,,,,,,
83,hepar2,WMF,3.70E-05,,,,,,,
83,hepar2,PE,4.40E-05,,,,,,,
84,hepar2,MN,0.002361,,,,,,,
84,hepar2,MW,2.20E-05,,,,,,,
84,hepar2,MF,3.10E-05,,,,,,,
84,hepar2,WMF,2.60E-05,,,,,,,
84,hepar2,PE,4.50E-05,,,,,,,
85,hepar2,MN,0.002408,,,,,,,
85,hepar2,MW,2.40E-05,,,,,,,
85,hepar2,MF,2.20E-05,,,,,,,
85,hepar2,WMF,3.30E-05,,,,,,,
85,hepar2,PE,3.80E-05,,,,,,,
86,hepar2,MN,0.002377,,,,,,,
86,hepar2,MW,3.60E-05,,,,,,,
86,hepar2,MF,3.70E-05,,,,,,,
86,hepar2,WMF,3.70E-05,,,,,,,
86,hepar2,PE,3.70E-05,,,,,,,
87,hepar2,MN,0.002352,,,,,,,
87,hepar2,MW,2.40E-05,,,,,,,
87,hepar2,MF,3.90E-05,,,,,,,
87,hepar2,WMF,2.20E-05,,,,,,,
87,hepar2,PE,4.40E-05,,,,,,,
88,hepar2,MN,0.002336,,,,,,,
88,hepar2,MW,2.80E-05,,,,,,,
88,hepar2,MF,3.00E-05,,,,,,,
88,hepar2,WMF,2.30E-05,,,,,,,
